Source IP,Destination IP,Protocol,Count,Percentage
103.43.90.19,192.168.182.221,TCP,24,100.0
104.18.36.155,192.168.182.221,TCP,16,53.333333333333336
104.18.36.155,192.168.182.221,UDP,14,46.666666666666664
104.22.27.181,192.168.182.221,TCP,1,100.0
106.75.109.179,192.168.182.221,TCP,17,100.0
130.211.33.34,192.168.182.221,TCP,23,100.0
138.113.182.113,192.168.182.221,TCP,77,100.0
142.250.192.230,192.168.182.221,TCP,1,100.0
142.250.193.226,192.168.182.221,TCP,18,100.0
142.250.194.134,192.168.182.221,TCP,54,56.84210526315789
142.250.194.134,192.168.182.221,UDP,41,43.15789473684211
142.250.194.194,192.168.182.221,TCP,3,100.0
142.250.194.34,192.168.182.221,TCP,32,43.83561643835616
142.250.194.34,192.168.182.221,UDP,41,56.16438356164384
142.250.207.206,192.168.182.221,TCP,1,100.0
142.250.207.226,192.168.182.221,TCP,126,59.71563981042654
142.250.207.226,192.168.182.221,UDP,85,40.28436018957346
142.250.70.98,192.168.182.221,TCP,19,100.0
172.217.131.167,192.168.182.221,TCP,2,100.0
172.217.166.163,192.168.182.221,TCP,3,100.0
18.66.112.50,192.168.182.221,TCP,2,100.0
182.161.73.146,192.168.182.221,TCP,13,100.0
185.184.8.90,192.168.182.221,TCP,18,100.0
185.84.60.23,192.168.182.221,TCP,11,100.0
192.168.182.221,103.43.90.19,TCP,30,100.0
192.168.182.221,104.18.36.155,TCP,15,57.692307692307686
192.168.182.221,104.18.36.155,UDP,11,42.30769230769231
192.168.182.221,104.22.27.181,TCP,2,100.0
192.168.182.221,106.75.109.179,TCP,22,100.0
192.168.182.221,130.211.33.34,TCP,24,100.0
192.168.182.221,138.113.182.113,TCP,89,100.0
192.168.182.221,142.250.192.230,TCP,2,100.0
192.168.182.221,142.250.193.226,TCP,13,100.0
192.168.182.221,142.250.194.134,ICMP,1,1.0869565217391304
192.168.182.221,142.250.194.134,TCP,50,54.347826086956516
192.168.182.221,142.250.194.134,UDP,41,44.565217391304344
192.168.182.221,142.250.194.194,TCP,5,100.0
192.168.182.221,142.250.194.34,TCP,22,40.74074074074074
192.168.182.221,142.250.194.34,UDP,32,59.25925925925925
192.168.182.221,142.250.207.206,TCP,2,100.0
192.168.182.221,142.250.207.226,TCP,122,67.03296703296702
192.168.182.221,142.250.207.226,UDP,60,32.967032967032964
192.168.182.221,142.250.70.98,TCP,15,100.0
192.168.182.221,172.217.131.167,TCP,3,100.0
192.168.182.221,172.217.166.163,TCP,5,100.0
192.168.182.221,172.31.2.3,TCP,52,100.0
192.168.182.221,18.66.112.50,TCP,4,100.0
192.168.182.221,182.161.73.146,TCP,14,100.0
192.168.182.221,185.184.8.90,TCP,18,100.0
192.168.182.221,185.84.60.23,TCP,14,100.0
192.168.182.221,192.168.182.9,ICMP,20,5.763688760806916
192.168.182.221,192.168.182.9,UDP,327,94.23631123919309
192.168.182.221,199.232.22.109,TCP,13,100.0
192.168.182.221,20.198.119.84,TCP,8,100.0
192.168.182.221,20.207.70.99,TCP,139,100.0
192.168.182.221,20.207.73.85,TCP,17,100.0
192.168.182.221,20.212.88.117,TCP,2,100.0
192.168.182.221,20.43.185.14,TCP,101,100.0
192.168.182.221,20.50.73.11,TCP,20,100.0
192.168.182.221,204.79.197.222,TCP,3,100.0
192.168.182.221,216.239.32.116,TCP,16,100.0
192.168.182.221,216.58.221.46,TCP,2,100.0
192.168.182.221,23.218.244.122,TCP,3,100.0
192.168.182.221,239.255.255.250,UDP,8,100.0
192.168.182.221,34.120.195.249,TCP,29,65.9090909090909
192.168.182.221,34.120.195.249,UDP,15,34.090909090909086
192.168.182.221,35.241.11.240,TCP,2,100.0
192.168.182.221,40.81.94.65,UDP,1,100.0
192.168.182.221,52.221.88.164,TCP,48,100.0
192.168.182.221,52.86.229.235,TCP,30,100.0
192.168.182.221,75.101.173.96,TCP,4,100.0
192.168.182.221,91.108.56.135,TCP,4,100.0
192.168.182.9,192.168.182.221,UDP,323,100.0
199.232.22.109,192.168.182.221,TCP,15,100.0
20.198.119.84,192.168.182.221,TCP,6,100.0
20.207.70.99,192.168.182.221,TCP,149,100.0
20.207.73.85,192.168.182.221,TCP,24,100.0
20.212.88.117,192.168.182.221,TCP,2,100.0
20.43.185.14,192.168.182.221,TCP,53,100.0
20.50.73.11,192.168.182.221,TCP,14,100.0
204.79.197.222,192.168.182.221,TCP,3,100.0
216.239.32.116,192.168.182.221,TCP,18,100.0
216.58.221.46,192.168.182.221,TCP,1,100.0
23.218.244.122,192.168.182.221,TCP,2,100.0
34.120.195.249,192.168.182.221,TCP,33,68.75
34.120.195.249,192.168.182.221,UDP,15,31.25
35.241.11.240,192.168.182.221,TCP,2,100.0
40.81.94.65,192.168.182.221,UDP,1,100.0
52.221.88.164,192.168.182.221,TCP,91,100.0
52.86.229.235,192.168.182.221,TCP,26,100.0
75.101.173.96,192.168.182.221,TCP,2,100.0
91.108.56.135,192.168.182.221,TCP,3,100.0
