src_ip,dst_ip,0,1
192.168.182.221,192.168.182.9,347,11.944922547332187
192.168.182.9,192.168.182.221,323,11.118760757314975
142.250.207.226,192.168.182.221,211,7.263339070567987
192.168.182.221,142.250.207.226,182,6.265060240963856
20.207.70.99,192.168.182.221,149,5.129087779690189
192.168.182.221,20.207.70.99,139,4.784853700516352
192.168.182.221,20.43.185.14,101,3.476764199655766
142.250.194.134,192.168.182.221,95,3.2702237521514634
192.168.182.221,142.250.194.134,92,3.1669535283993113
52.221.88.164,192.168.182.221,91,3.132530120481928
192.168.182.221,138.113.182.113,89,3.06368330464716
138.113.182.113,192.168.182.221,77,2.6506024096385543
142.250.194.34,192.168.182.221,73,2.512908777969019
192.168.182.221,142.250.194.34,54,1.8588640275387263
20.43.185.14,192.168.182.221,53,1.8244406196213425
192.168.182.221,172.31.2.3,52,1.7900172117039586
192.168.182.221,52.221.88.164,48,1.6523235800344231
34.120.195.249,192.168.182.221,48,1.6523235800344231
192.168.182.221,34.120.195.249,44,1.5146299483648882
192.168.182.221,52.86.229.235,30,1.0327022375215147
192.168.182.221,103.43.90.19,30,1.0327022375215147
104.18.36.155,192.168.182.221,30,1.0327022375215147
192.168.182.221,104.18.36.155,26,0.8950086058519793
52.86.229.235,192.168.182.221,26,0.8950086058519793
20.207.73.85,192.168.182.221,24,0.8261617900172116
103.43.90.19,192.168.182.221,24,0.8261617900172116
192.168.182.221,130.211.33.34,24,0.8261617900172116
130.211.33.34,192.168.182.221,23,0.7917383820998278
192.168.182.221,106.75.109.179,22,0.7573149741824441
192.168.182.221,20.50.73.11,20,0.6884681583476765
142.250.70.98,192.168.182.221,19,0.6540447504302926
185.184.8.90,192.168.182.221,18,0.6196213425129088
216.239.32.116,192.168.182.221,18,0.6196213425129088
142.250.193.226,192.168.182.221,18,0.6196213425129088
192.168.182.221,185.184.8.90,18,0.6196213425129088
106.75.109.179,192.168.182.221,17,0.5851979345955249
192.168.182.221,20.207.73.85,17,0.5851979345955249
192.168.182.221,216.239.32.116,16,0.5507745266781412
199.232.22.109,192.168.182.221,15,0.5163511187607573
192.168.182.221,142.250.70.98,15,0.5163511187607573
20.50.73.11,192.168.182.221,14,0.48192771084337355
192.168.182.221,185.84.60.23,14,0.48192771084337355
192.168.182.221,182.161.73.146,14,0.48192771084337355
192.168.182.221,199.232.22.109,13,0.44750430292598964
182.161.73.146,192.168.182.221,13,0.44750430292598964
192.168.182.221,142.250.193.226,13,0.44750430292598964
185.84.60.23,192.168.182.221,11,0.37865748709122204
192.168.182.221,239.255.255.250,8,0.2753872633390706
192.168.182.221,20.198.119.84,8,0.2753872633390706
20.198.119.84,192.168.182.221,6,0.2065404475043029
192.168.182.221,172.217.166.163,5,0.17211703958691912
192.168.182.221,142.250.194.194,5,0.17211703958691912
192.168.182.221,75.101.173.96,4,0.1376936316695353
192.168.182.221,18.66.112.50,4,0.1376936316695353
192.168.182.221,91.108.56.135,4,0.1376936316695353
142.250.194.194,192.168.182.221,3,0.10327022375215145
204.79.197.222,192.168.182.221,3,0.10327022375215145
172.217.166.163,192.168.182.221,3,0.10327022375215145
91.108.56.135,192.168.182.221,3,0.10327022375215145
192.168.182.221,172.217.131.167,3,0.10327022375215145
192.168.182.221,204.79.197.222,3,0.10327022375215145
192.168.182.221,23.218.244.122,3,0.10327022375215145
75.101.173.96,192.168.182.221,2,0.06884681583476765
35.241.11.240,192.168.182.221,2,0.06884681583476765
192.168.182.221,20.212.88.117,2,0.06884681583476765
23.218.244.122,192.168.182.221,2,0.06884681583476765
172.217.131.167,192.168.182.221,2,0.06884681583476765
192.168.182.221,142.250.192.230,2,0.06884681583476765
20.212.88.117,192.168.182.221,2,0.06884681583476765
18.66.112.50,192.168.182.221,2,0.06884681583476765
192.168.182.221,142.250.207.206,2,0.06884681583476765
192.168.182.221,216.58.221.46,2,0.06884681583476765
192.168.182.221,35.241.11.240,2,0.06884681583476765
192.168.182.221,104.22.27.181,2,0.06884681583476765
192.168.182.221,40.81.94.65,1,0.034423407917383825
142.250.207.206,192.168.182.221,1,0.034423407917383825
216.58.221.46,192.168.182.221,1,0.034423407917383825
40.81.94.65,192.168.182.221,1,0.034423407917383825
142.250.192.230,192.168.182.221,1,0.034423407917383825
104.22.27.181,192.168.182.221,1,0.034423407917383825
