src_ip,dst_ip,timestamp_diff
20.43.185.14,192.168.182.221,18.355560
192.168.182.221,20.43.185.14,18.356636
20.207.73.85,192.168.182.221,30.049268
192.168.182.221,20.207.73.85,30.049581
192.168.182.221,142.250.194.134,15.370664
142.250.194.134,192.168.182.221,15.305712
192.168.182.221,20.198.119.84,44.858058
20.198.119.84,192.168.182.221,45.697644
192.168.182.221,216.239.32.116,45.059384
216.239.32.116,192.168.182.221,45.061758
192.168.182.221,91.108.56.135,44.718003
91.108.56.135,192.168.182.221,44.890895
192.168.182.221,20.50.73.11,60.555453
20.50.73.11,192.168.182.221,60.813788
192.168.182.221,35.241.11.240,45.048260
35.241.11.240,192.168.182.221,45.059533
192.168.182.221,142.250.194.134,24.802570
192.168.182.221,142.250.70.98,45.119593
142.250.194.134,192.168.182.221,24.864361
142.250.70.98,192.168.182.221,45.092335
192.168.182.221,172.31.2.3,30.774903
52.221.88.164,192.168.182.221,28.918184
192.168.182.221,52.221.88.164,28.870974
192.168.182.221,20.212.88.117,45.148568
20.212.88.117,192.168.182.221,45.130466
192.168.182.221,199.232.22.109,45.053613
199.232.22.109,192.168.182.221,45.064125
192.168.182.221,142.250.207.226,29.748107
142.250.207.226,192.168.182.221,29.738023
192.168.182.221,104.18.36.155,44.361718
104.18.36.155,192.168.182.221,44.400300
192.168.182.221,34.120.195.249,42.160409
34.120.195.249,192.168.182.221,41.487055
192.168.182.221,142.250.194.34,38.097999
142.250.194.34,192.168.182.221,38.067487
